order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_creation_date,review_answer_timestamp,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,customer_lat,customer_lng,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,seller_lat,seller_lng
a,ec61fb091dc97882f465311090f44974,delivered,1516278225,-9223372036,-9223372036,-9223372036,1521676800,1,0f91b6a95a57a43203a9b17de98960d9,1c129092bf23f28a5930387c980c0dfc,1519354295,342.62,12.04,2,credit_card,2,143.14,369072ea9fa61a56c789b80cc7a88087,2,1524700800,1512795312,c57c7c35bd28be99523d58d38796df9d,29246,sorocaba,SP,-11.109620581064961,-43.69435328340026,pet_shop,58.0,491.0,3.0,5287.0,19.0,23.0,29.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
geoo,8df603ac3530342b1e7e0a21b93f2334,delivered,1520524761,-9223372036,-9223372036,-9223372036,1515715200,2,154e7e31ebfa092203795c972e5804a6,1c129092bf23f28a5930387c980c0dfc,1488481820,483.98,11.07,2,boleto,3,39.66,0c8ecedb39a92415d79cb0059d90c8f2,4,1500595200,1530031861,c1d4861a3e5f99db35cc7e35764d265e,38364,contagem,MG,-16.238624837672262,-50.82331720247077,relogios_presentes,60.0,536.0,4.0,2609.0,26.0,10.0,29.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
dHHA,033230cd77689ed3080a4d79b32132d3,delivered,1522877113,-9223372036,-9223372036,-9223372036,1528243200,2,8ed094bfe076c568f6bb10feada3f75d,1c129092bf23f28a5930387c980c0dfc,1526412684,23.89,23.21,1,credit_card,8,335.69,5bbff0a22f0ea262d7d9245b1e415932,3,1505779200,1529203271,9b1ded78079f453d78075fcd4cec55fa,15633,sao paulo,SP,-17.27519174965528,-43.207168890295414,esporte_lazer,55.0,1295.0,6.0,2983.0,41.0,27.0,24.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
dqgv,7aa304bf571592f09294c4ed6dbec0a5,delivered,1529410691,-9223372036,-9223372036,-9223372036,1508976000,1,601a360bd2a916ecef0e88de72a6531a,1c129092bf23f28a5930387c980c0dfc,1520955332,38.57,1.02,2,debit_card,3,366.46,792cc9bf23f93f2e8077173294662d8c,5,1523664000,1496249119,5065acda1beb44289fbf3f6b396d3685,48339,duque de caxias,MG,-19.769949706248354,-48.07569192080369,bebes,48.0,789.0,3.0,1717.0,16.0,32.0,10.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
czeS,0bb1df1c6ebb8a342e2d1b02d3c7c312,delivered,1523788691,-9223372036,-9223372036,-9223372036,1522022400,1,b59fb744c6f3cd1dc23b10f760848d98,1c129092bf23f28a5930387c980c0dfc,1525969823,13.36,5.16,1,credit_card,6,89.02,6936410c98d9be44937296029cd2406a,5,1517875200,1533319835,daa4bdb7d8bf38a540c6bf3fa379e16e,51530,brasilia,RJ,-22.513482233370024,-40.84985306587193,perfumaria,45.0,1590.0,1.0,2801.0,31.0,21.0,47.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
adlE,acebd967d532546739f68217c058b29b,delivered,1492600160,-9223372036,-9223372036,-9223372036,1506038400,1,6ae38d49db7fc65ad1779828542aecba,1c129092bf23f28a5930387c980c0dfc,1525421715,546.46,42.69,2,boleto,3,208.65,c4085f9bba377e18eb5385d7184bb23a,3,1503964800,1517579578,494f8a40e4cc505c7f0f224ec6b370ea,92545,louveira,SC,-27.158912414237157,-42.51040398530048,pet_shop,56.0,469.0,2.0,14655.0,40.0,64.0,40.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
aNEg,3f2e51e61d65ef449d876636ff3f1364,delivered,1534985662,-9223372036,-9223372036,-9223372036,1531699200,1,53759a2ecddad2bb87a079a1f1519f73,1c129092bf23f28a5930387c980c0dfc,1504887320,86.9,34.8,2,boleto,2,345.99,51f09b6e0b53582b71656d9911e22a9b,3,1505692800,1515106484,afb8666eb82bc5098caa0c3476482d39,79008,maracanau,MG,-16.716981496180562,-52.87278676961093,moveis_decoracao,48.0,410.0,4.0,99.0,21.0,5.0,9.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
ffzs,bcdaaf03c35d4831e636e8ddec748ba9,delivered,1530480041,-9223372036,-9223372036,-9223372036,1489363200,1,53759a2ecddad2bb87a079a1f1519f73,1c129092bf23f28a5930387c980c0dfc,1533533033,199.1,10.54,2,credit_card,0,138.62,561499c465cd289afee13e35bd185de0,5,1521763200,1496872072,e6f7a95a474d4f2224834b896c22f66f,41872,votorantim,PR,-11.480764046772473,-40.322259974939854,moveis_decoracao,48.0,410.0,4.0,99.0,21.0,5.0,9.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
aPte,60df128a3eed331273ac55fa678deb8a,delivered,1516733549,-9223372036,-9223372036,-9223372036,1500595200,3,53759a2ecddad2bb87a079a1f1519f73,1c129092bf23f28a5930387c980c0dfc,1516395039,188.41,22.25,1,credit_card,1,103.57,afa4452e5e5b79681346303da60abbbd,2,1520553600,1521260026,004f84d065096f3cedd26cf0adc80b9d,33087,santo andre,RJ,-33.206513124334734,-44.16065349938994,moveis_decoracao,48.0,410.0,4.0,99.0,21.0,5.0,9.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
duhy,4b1e4c6aa9b00cc930f4ef5f7b622ba2,delivered,1530660390,-9223372036,-9223372036,-9223372036,1512950400,1,04ea63ab87df726ebf45c0982dd90a1f,1c129092bf23f28a5930387c980c0dfc,1519681636,331.9,10.96,1,boleto,2,7.92,a760948932a7d244b451980a52bc7e68,5,1509494400,1501644460,3105529b59f299f44dfe7166fc8f1ad9,40952,brasilia,SC,-24.373071649355374,-48.450069190570545,consoles_games,46.0,1128.0,3.0,2065.0,21.0,7.0,8.0,13397,praia grande,SP,-25.803338345959574,-53.04669853566485
